Profundidad,Densidad Aparente,Gamma Ray,Porosidad Neutrón,Resistividad Profunda,Resistividad Media
3681.728,2.1906,32.0315,25.589,0.4087,0.4954
3681.8804,2.1935,33.306,24.2109,0.4103,0.498
3682.0328,2.1945,32.0604,23.8015,0.4108,0.4971
3682.1852,2.1936,27.7687,29.8735,0.4122,0.4975
3682.3376,2.1957,33.8774,24.962,0.4174,0.4989
3682.49,2.1956,32.5202,25.7068,0.4181,0.5
3682.6424,2.1938,32.6279,24.8672,0.4218,0.4999
3682.7948,2.1905,29.4818,25.1445,0.4219,0.4961
3682.9472,2.1905,30.2116,25.056,0.4223,0.4944
3683.0996,2.1918,32.2484,27.9038,0.4232,0.49
3683.252,2.1965,28.0929,26.9412,0.4232,0.4874
3683.4044,2.1947,32.7633,28.5644,0.4239,0.4853
3683.5568,2.1922,29.7492,28.7677,0.4274,0.4835
3683.7092,2.192,32.9809,23.8087,0.4269,0.483
3683.8616,2.1927,29.8576,21.3494,0.4186,0.4812
3684.014,2.2011,32.2484,26.6042,0.4105,0.4743
